Date,Close
3/2/2017,7.64
3/3/2017,7.69
3/6/2017,7.58
3/7/2017,7.515
3/8/2017,7.485
3/9/2017,7.61
3/10/2017,7.75
3/13/2017,7.795
3/14/2017,7.78
3/15/2017,7.705
3/16/2017,7.885
3/17/2017,7.67
3/20/2017,7.755
3/21/2017,7.765
3/22/2017,7.825
3/23/2017,7.855
3/24/2017,7.835
3/27/2017,7.875
3/28/2017,7.86
3/29/2017,7.9
3/30/2017,7.9
3/31/2017,7.9
4/3/2017,7.735
4/4/2017,7.695
4/5/2017,7.68
4/6/2017,7.68
4/7/2017,7.635
4/10/2017,7.585
4/11/2017,7.545
4/12/2017,7.63
4/13/2017,7.24
4/17/2017,7.265
4/18/2017,7.21
4/19/2017,7.17
4/20/2017,7.235
4/21/2017,7.24
4/24/2017,7.215
4/25/2017,7.27
4/26/2017,7.25
4/27/2017,7.285
4/28/2017,7.28
5/1/2017,7.27
5/2/2017,7.26
5/3/2017,7.34
5/4/2017,7.36
5/5/2017,7.4
5/8/2017,7.55
5/9/2017,7.47
5/10/2017,7.455
5/11/2017,7.635
5/12/2017,7.64
5/15/2017,7.56
5/16/2017,7.63
5/17/2017,7.445
5/18/2017,7.49
5/19/2017,7.58
5/22/2017,7.525
5/23/2017,7.53
5/24/2017,7.6
5/25/2017,7.755
5/26/2017,7.765
5/30/2017,7.7
5/31/2017,7.55
6/1/2017,7.65
6/2/2017,7.59
6/5/2017,7.615
6/6/2017,7.795
6/7/2017,7.665
6/8/2017,7.635
6/9/2017,7.475
6/12/2017,7.53
6/13/2017,7.57
6/14/2017,7.585
6/15/2017,7.535
6/16/2017,7.335
6/19/2017,7.41
6/20/2017,7.45
6/21/2017,7.49
6/22/2017,7.385
6/23/2017,7.425
6/26/2017,7.47
6/27/2017,7.355
6/28/2017,7.46
6/29/2017,7.445
6/30/2017,7.51
7/3/2017,7.57
7/5/2017,7.47
7/6/2017,7.47
7/7/2017,7.52
7/10/2017,7.66
7/11/2017,7.735
7/12/2017,7.82
7/13/2017,7.78
7/14/2017,7.835
7/17/2017,7.82
7/18/2017,7.775
7/19/2017,7.69
7/20/2017,7.76
7/21/2017,7.84
7/24/2017,7.84
7/25/2017,7.905
7/26/2017,7.955
7/27/2017,7.795
7/28/2017,7.855
7/31/2017,7.9
8/1/2017,7.955
8/2/2017,7.89
8/3/2017,7.885
8/4/2017,7.835
8/7/2017,7.77
8/8/2017,7.76
8/9/2017,7.8
8/10/2017,7.66
8/11/2017,7.745
8/14/2017,7.735
8/15/2017,7.745
8/16/2017,7.825
8/17/2017,7.965
8/18/2017,7.395
8/21/2017,7.28
8/22/2017,7.13
8/23/2017,7.41
8/24/2017,7.495
8/25/2017,7.575
8/28/2017,7.655
8/29/2017,7.635
8/30/2017,7.525
8/31/2017,7.5
9/1/2017,7.42
9/5/2017,7.325
9/6/2017,7.31
9/7/2017,7.29
9/8/2017,7.265
9/11/2017,7.285
9/12/2017,7.27
9/13/2017,7.265
9/14/2017,7.275
9/15/2017,7.325
9/18/2017,7.4
9/19/2017,7.4
9/20/2017,7.42
9/21/2017,7.32
9/22/2017,7.295
9/25/2017,7.155
9/26/2017,7.17
9/27/2017,7.15
